GRID_CODE,NDVI,RDVI,SR,MSR,OSAVI,MSAVI,MTVI1,MTVI2,MCARI,MCARI1,MCARI2,EVI,LIC1,VOG,VOG2,VOG3,GM1,GM2,TCARI,T_O,CI,TVI,SRPI,NPQI,NPCI,CTR1,CAR,DCABXC,DNCABXC,SIPI,CRI550,CRI700,CRI550M,CRI700M,RCRI550,RCRI700,PSRI,LIC3,PRI,PRI515,PRIM1,PRIM2,PRIM3,PRIM4,PRIN,PRI_CI,B,G,R,BGI1,BGI2,BF1,BF2,BF3,BF4,BF5,BRI1,BRI2,RGI,RARS,LIC2,HI,CUR,PSSRA,PSSRB,PSSRC,PSNDC,FLD2,TC,CWSIv,Cab,Car,Ant,LAI,LIDFa,Fi,PLOT,ZONE,X,Y,Res_qPCR,DS_FEB_2016,qPCR,Sympt_FEB_17,Class_FEB_17,SEV,SEV_A,Year
1831,0.623160647,0.375516392,4.307301333,1.075403896,0.501775181,0.371639013,0.313557744,0.313221465,0.022732614,0.39194718,0.313221465,0.388181943,0.61799688,1.545203444,-0.157576476,-0.171034318,4.416479006,2.918493288,0.044613363,0.088911059,2.294118714,11.62178157,0.482498654,-0.025630775,0.349073738,2.543189454,0.744467309,3.403814866,39.85978029,0.712875054,5.500439721,11.1031002,4.669932364,10.27259284,17.2809229,18.88786744,0.100920099,0.147105173,0.084133619,-0.063126139,-0.079948536,0.104588059,0.117899059,-0.317605409,0.167328537,0.180091968,0.884783424,0.88481644,1.338969408,0.545941606,0.589063169,1.028869031,1.008795879,0.984484277,0.958307748,0.926796368,0.433797308,0.468061079,1.258517734,5.525794112,0.452670146,-0.279950234,1.026497326,4.235559335,4.308066248,7.722962021,0.770720084,3.395809825,32.13,0.475774434,41.28247662,7.588931987,4.789986015,3.007784873,62.22839607,0.102476051,3,B,18.10596874,40.41637962,neg,0,0,0,TN,0,0,2016
1834,0.64406067,0.409603541,4.618935118,1.149170798,0.535336289,0.417716191,0.377230191,0.370626449,0.031791498,0.471537739,0.370626449,0.430418779,0.63872227,1.545340353,-0.156139154,-0.169909043,4.121092903,3.016526468,0.062205286,0.116198523,2.32028551,13.86933387,0.545121893,-0.068764895,0.294396261,2.401510472,0.776633175,2.655205703,32.68177788,0.713572152,4.338955455,7.993646879,3.57359623,7.228287654,13.53456213,14.72457762,0.07136674,0.157870051,0.059542257,-0.066681704,-0.084947611,0.061789636,0.036281719,-0.29989611,0.104435327,0.13299765,0.892837462,1.018846821,1.39191963,0.456932085,0.600847876,0.971921324,0.89514452,0.838666368,0.798504954,0.760478823,0.413210265,0.543355387,1.105810101,5.09512779,0.517479902,-0.222604911,1.029626134,4.535907234,4.424414445,7.076212961,0.75235918,3.702951077,31.7652381,0.431077602,44.40156536,7.375416858,4.212315375,1.914539834,56.40865523,0.115959552,3,B,18.10563969,40.41628253,pos,0,1,0,FN,0,0,2016
1835,0.642082402,0.396619641,4.587878361,1.141933323,0.524766637,0.399234853,0.343359709,0.342257605,0.022435618,0.429199636,0.342257605,0.411809822,0.636773366,1.584652536,-0.171185235,-0.186331831,4.446544181,3.045449618,0.044895277,0.085552841,2.385434863,12.26546062,0.500785349,-0.040358806,0.332635611,2.472335882,0.758259722,3.324188686,42.25146454,0.722355175,5.024773088,10.08763033,4.225569198,9.288426439,16.22475343,17.75852585,0.090543997,0.149802775,0.077613352,-0.06052084,-0.076959293,0.093436773,0.098529204,-0.313413356,0.147048918,0.178875537,0.882901962,0.911442338,1.330762001,0.504899812,0.602567822,0.985162423,0.936366566,0.902571803,0.871734177,0.837913664,0.412729975,0.492568618,1.223317525,5.459522994,0.473458522,-0.25964645,1.025946657,4.506204155,4.558466324,7.790432111,0.772479899,3.510522657,31.73275862,0.427097665,42.94084222,7.602134787,4.760872265,2.699375449,60.99401848,0.107511945,3,B,18.10553455,40.41624917,pos,0,1,0,FN,1,1,2016
1836,0.552386318,0.336954842,3.468138669,0.862293927,0.448091478,0.329305985,0.274937039,0.263667196,0.019021209,0.343671299,0.263667196,0.339145893,0.54659837,1.462777007,-0.134089064,-0.143509723,3.724872017,2.465631746,0.03938476,0.087894464,2.03861411,10.06099446,0.475545421,-0.050213053,0.355430996,2.548263236,0.770209089,3.252818182,31.91108896,0.659371297,3.828977001,8.67306094,3.233904858,8.077988796,14.13955987,15.49802038,0.125060834,0.181082764,0.080053319,-0.050279207,-0.064233128,0.11995887,0.136160409,-0.32953644,0.187659194,0.131277681,0.878959272,0.838020523,1.266011926,0.522232456,0.629092986,1.000606692,0.950188763,0.905158275,0.871418807,0.830135556,0.400089903,0.481957315,1.305287766,4.461926543,0.459124705,-0.284360053,1.020027931,3.411100158,3.484464126,6.133503428,0.719632854,3.033864947,33.595,0.655291148,40.3111027,7.699683493,4.517635675,3.872985362,65.13597885,0.086586671,3,B,18.10542843,40.41622249,neg,0,0,0,TN,0,0,2016
1837,0.655874731,0.403288173,4.81183709,1.19359,0.534585739,0.406747209,0.351738004,0.354162747,0.0234988,0.439672505,0.354162747,0.423536709,0.64935582,1.632126803,-0.189140618,-0.206956712,4.590139779,3.225459932,0.046847081,0.087632493,2.510557806,12.93199236,0.516133146,-0.046790506,0.319145357,2.436444029,0.761056835,3.299847709,42.28788791,0.728782097,5.17488,9.999237938,4.306667574,9.131025512,16.35589709,17.85606243,0.081706472,0.146725412,0.072317741,-0.063991848,-0.081259318,0.079509559,0.076473146,-0.307668242,0.133016495,0.181388559,0.896099269,0.947304509,1.348105448,0.518464898,0.604248197,1.011145681,0.975735237,0.930216457,0.893204728,0.858033007,0.437922454,0.510379496,1.18391942,5.638714116,0.490282284,-0.241148793,1.023949569,4.703787804,4.750181932,7.877253862,0.774705102,3.633321997,31.68136364,0.420799877,44.01326534,7.718211351,4.683591094,2.539415211,59.8430698,0.112902836,3,B,18.10533984,40.41619655,neg,0,0,0,TN,0,0,2016
1838,0.668746937,0.409859078,5.037680024,1.244477673,0.544014859,0.414353635,0.355158438,0.360897679,0.022461658,0.443948047,0.360897679,0.430102369,0.663293433,1.658403297,-0.189986097,-0.209029285,4.854546723,3.350533491,0.044396008,0.08160808,2.583860088,12.99508953,0.507202854,-0.031920509,0.326961394,2.448297211,0.743377528,3.469770669,47.03595526,0.743296826,5.908365014,11.24931876,4.947830461,10.28878421,17.84296087,19.48639328,0.081074663,0.13548284,0.080622765,-0.067375266,-0.085953296,0.094890562,0.089702784,-0.306335201,0.145606132,0.211855091,0.877352859,0.932413908,1.350963031,0.520856887,0.588081082,0.993990106,0.97117009,0.938927745,0.915408553,0.885688902,0.435196754,0.491365256,1.196830818,6.094853694,0.475412594,-0.253352278,1.024825631,4.939890086,4.943456825,8.570405085,0.79102243,3.466360669,32.44375,0.51422042,45.02502862,7.781305724,4.81474943,2.414563773,59.3540345,0.105573233,3,B,18.10523568,40.41616542,neg,0,0,0,TN,0,0,2016
1839,0.672089986,0.418104823,5.099234278,1.258148418,0.551582375,0.426015226,0.376573663,0.38041341,0.026592065,0.470717079,0.38041341,0.440862476,0.667887114,1.632743599,-0.178486465,-0.196041685,4.50171109,3.339368059,0.052909862,0.095923772,2.529888788,13.73429927,0.543157155,-0.059292513,0.296044278,2.373961106,0.762733627,3.005042156,41.70603901,0.737104982,5.184959506,9.172553535,4.289427563,8.277021592,15.71028327,16.98023583,0.066251645,0.144699796,0.065793176,-0.069423001,-0.088365662,0.067554431,0.038720292,-0.295485525,0.114387027,0.171060599,0.890572509,1.020482519,1.375684678,0.47217222,0.592480273,0.98049354,0.92734703,0.873688175,0.831501357,0.796941672,0.432921475,0.543228557,1.090664815,5.62502148,0.520650353,-0.211746963,1.02767066,5.022048774,4.881576775,7.918470428,0.775746299,3.378256482,31.80941176,0.436490511,44.76923442,7.734412882,4.354532648,2.310967198,58.13730803,0.10170546,3,B,18.10513346,40.41613651,neg,0,0,0,TN,0,0,2016
1840,0.644525887,0.403838044,4.626288741,1.150880922,0.531169308,0.409346177,0.354722314,0.351423726,0.027292934,0.443402893,0.351423726,0.420328248,0.636926305,1.577927893,-0.169711568,-0.184758262,4.579881746,3.030974347,0.052099639,0.098084807,2.371339161,13.04179506,0.501259256,-0.04898698,0.332214933,2.540430848,0.760494931,3.14349431,38.76409115,0.722417081,5.215911881,10.53384912,4.310403936,9.628341179,15.95783294,17.64287267,0.093714654,0.146557585,0.069970765,-0.066708408,-0.085004732,0.082192689,0.096394817,-0.319575742,0.125811726,0.158754299,0.902635559,0.911415203,1.37717228,0.495856301,0.605691619,0.976435018,0.920129677,0.878640681,0.847237885,0.818661321,0.397935826,0.486081137,1.246071021,5.698563153,0.469686062,-0.274573394,1.025869319,4.50852355,4.650923449,7.935591036,0.77617597,3.327221059,31.44423077,0.391742325,46.69004726,7.70018904,5.09106585,1.855450549,56.63477763,0.099465004,3,B,18.10504681,40.41610909,neg,0,0,0,TN,0,0,2016
1841,0.597217933,0.355433104,3.965464368,0.991347375,0.477208075,0.347193989,0.290867532,0.288365431,0.02514522,0.363584415,0.288365431,0.362732349,0.58939106,1.480079548,-0.132299001,-0.142488251,4.059591424,2.624329021,0.048335803,0.101288737,2.110555928,10.59672853,0.490676036,-0.039313458,0.341673141,2.548381949,0.759660317,3.31753307,37.30632455,0.689531801,5.035660324,10.69034444,4.196443854,9.85112797,16.64860489,18.19755003,0.113352684,0.163547165,0.075867814,-0.061350918,-0.078133531,0.095246781,0.116721018,-0.324207435,0.157429175,0.137802954,0.895438798,0.876497002,1.355858845,0.539397575,0.609740466,1.01270056,0.977743434,0.940530515,0.91266149,0.884634701,0.420020067,0.474794925,1.284218583,5.017077269,0.460214517,-0.28791795,1.024022859,3.870814556,4.015854873,7.037953428,0.751180444,3.115909101,31.41,0.387547789,38.75448631,7.54423959,4.707304568,3.730353572,64.00601895,0.09018841,3,B,18.10497964,40.41608685,neg,0,0,0,TN,0,0,2016
1842,0.630749776,0.355364554,4.416381278,1.101518803,0.486461728,0.340035768,0.279355662,0.288924198,0.036265368,0.349194578,0.288924198,0.369132942,0.618538765,1.436040567,-0.118182814,-0.12715024,4.538020323,2.675582622,0.059403705,0.12211383,2.051954492,10.648787,0.558566406,-0.001134377,0.283230533,2.332597311,0.778649672,3.354444364,41.58594529,0.701457191,5.963507591,13.72662903,4.844640333,12.60776177,20.07130923,22.04448267,0.09906828,0.158251933,0.060796333,-0.064137457,-0.08254993,0.078195043,0.09774198,-0.327814411,0.111815251,0.110368857,0.976422845,0.90209892,1.530038056,0.641804257,0.655731072,0.998344293,0.996261396,0.995836587,0.989537797,0.978761391,0.48133895,0.491783753,1.333372785,5.647211797,0.486428059,-0.320474325,1.034059354,4.242996703,4.444913687,7.387456531,0.76154869,2.834416556,32.286,0.494890207,38.50100691,7.532024754,4.929943002,3.844632963,63.3862828,0.077830887,3,B,18.10489787,40.41606462,neg,0,0,0,TN,0,0,2016
